city,state,team_name,baseline_price,price,score_pct,multiplier,top_sale_address,last_sold_date,price_delta
Dallas,TX,Bryce,472000,10900000,2209.3220338983050800,×23.1,4231 W Lawther Dr,2025-07-01 07:00:00+00,10428000
Denver,CO,Rex,635000,4475000,604.7244094488189000,×7.0,1195 S York St,2025-06-30 07:00:00+00,3840000
Houston,TX,Ryan,376475,2749900,630.4336277309250300,×7.3,1900 W 14th St,2025-06-30 07:00:00+00,2373425
Las Vegas,NV,Danny,436000,10750000,2365.5963302752293600,×24.7,39 Crested Cloud Way,2025-07-03 07:00:00+00,10314000
Los Angeles,CA,Kevin,1150000,7500000,552.1739130434782600,×6.5,4523 NE Lexington Ave NE,2025-06-30 07:00:00+00,6350000
Miami,FL,Chris,580000,11000000,1796.5517241379310300,×19.0,7930 SW 96th St,2025-07-02 07:00:00+00,10420000
Nashville,TN,Julian,527913,6700000,1169.1485150015248700,×12.7,404 W Brookfield Ave,2025-06-24 07:00:00+00,6172087
New Orleans,LA,Travis,289000,3553000,1129.4117647058823500,×12.3,5800 St Charles Ave,2025-06-30 07:00:00+00,3264000
New York,NY,Amir,985000,8400000,752.7918781725888300,×8.5,1349 E 84th St,2025-07-03 07:00:00+00,7415000
Phoenix,AZ,Scott,452340,5065000,1019.7329442454790600,×11.2,2300 W Dobbins Rd Unit -,2025-07-01 07:00:00+00,4612660
San Francisco,CA,Dan G,1680000,14300000,751.1904761904761900,×8.5,1425 Taylor St,2025-06-27 07:00:00+00,12620000
Tampa,FL,AJ,397500,3925000,887.4213836477987400,×9.9,4816 W San Jose St,2025-07-01 07:00:00+00,3527500
