# Los Angeles Sales Data - Competition Period
# Generated: 2025-06-30T02:57:40.318Z
# Competition Period: 2025-06-23 to 2025-07-06
# Total Sales: 350
# Highest Sale: $12,700,000
#
address,price,beds,baths,sqft,sale_date,url
"350 N Cliffwood Ave",12700000,6,7,7151,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/350-N-Cliffwood-Ave-90049/home/6838300"
"1215 Appleton Way",9500000,8,9.5,8564,2025-06-26,"https://www.redfin.com/CA/Venice/1215-Appleton-Way-90291/home/6745656"
"11840 Kittridge St",9100000,6,81,39111,2025-06-24,"https://www.redfin.com/CA/North-Hollywood/11840-Kittridge-St-91606/home/5057985"
"1024 N Orlando Ave",6800000,5,8,6326,2025-06-24,"https://www.redfin.com/CA/West-Hollywood/1024-N-Orlando-Ave-90069/home/7104940"
"1936 Redcliff St",6300000,3,3.5,0,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/1936-Redcliff-St-90039/home/7062008"
"23617 Long Valley Rd",5000000,7,6.5,7026,2025-06-27,"https://www.redfin.com/CA/Hidden-Hills/23617-Long-Valley-Rd-91302/home/3297693"
"7666 Woodrow Wilson Dr",4817000,3,3.5,2730,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/7666-Woodrow-Wilson-Dr-90046/home/7126254"
"11621 Hesby St",4600000,2,2,1525,2025-06-23,"https://www.redfin.com/CA/North-Hollywood/11621-Hesby-St-91601/home/5210744"
"546 Stassi Ln",4300000,4,4,3376,2025-06-25,"https://www.redfin.com/CA/Santa-Monica/546-Stassi-Ln-90402/home/6840210"
"8378 Hollywood Blvd",4200000,3,3,2900,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/8378-Hollywood-Blvd-90069/home/7119254"
"4112 Shadyglade Ave",4100000,5,5.5,4078,2025-06-25,"https://www.redfin.com/CA/Studio-City/4112-Shadyglade-Ave-91604/home/5235504"
"3042 Landa St",4000000,3,4,3396,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3042-Landa-St-90039/home/7061999"
"8480 Harold Way",3950000,3,5,3538,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/8480-Harold-Way-90069/home/7119093"
"2539 Veteran Ave",3900000,5,5,3590,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/2539-Veteran-Ave-90064/home/6753840"
"4218 Shadyglade Ave",3825000,5,6,3762,2025-06-25,"https://www.redfin.com/CA/Studio-City/4218-Shadyglade-Ave-91604/home/5234811"
"3625 Colonial Ave",3768169,6,5.5,3783,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3625-Colonial-Ave-90066/home/6746751"
"16632 Park Lane Cir",3700000,5,4.75,3488,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/16632-Park-Lane-Cir-90049/home/6859181"
"139 S Edinburgh Ave",3700000,5,6,4242,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/139-S-Edinburgh-Ave-90048/home/7093498"
