# Miami, FL Baseline Calculation Summary
# Generated: 2025-06-25T06:44:58.200Z
# Baseline Period: 90 days
# Total Sales Found: 349
# Sales Used for Baseline: 342
# Outliers Removed: 7
# Calculated Baseline: $582,500
# Price Range (after outliers): $118,000 - $4,050,000
# Median Calculation: Average of middle two values ($580,000 + $585,000) ÷ 2
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"23100 SW 123rd Ave",50000,2,1,837,"2025-05-12T07:00:00Z","NO (outlier)","https://www.redfin.com/FL/Miami/23100-SW-123rd-Ave-33170/home/43231384"
"5296 NW 4th St",75000,4,2,1643,"2025-06-20T07:00:00Z","NO (outlier)","https://www.redfin.com/FL/Miami/5296-NW-4th-St-33126/home/42740729"
"7738 NW 15th Ave",110000,0,0,0,"2025-03-28T07:00:00Z","NO (outlier)","https://www.redfin.com/FL/Miami/7738-NW-15th-Ave-33147/home/43039160"
"1021 NW 3rd St #301",118000,1,1,465,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1021-NW-3rd-St-33128/unit-301/home/43445507"
"14214 NE 2nd Ct Unit 4B",120000,2,2,1182,"2025-06-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14214-NE-2nd-Ct-33161/unit-4B/home/42998448"
"15720 SW 101st Ave",121200,3,1,1058,"2025-04-02T07:00:00Z","YES","https://www.redfin.com/FL/Miami/15720-SW-101st-Ave-33157/home/43460387"
"1680 NE 191st St #209",130000,2,2,1315,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1680-NE-191st-St-33179/unit-209/home/43012384"
"15600 NW 7th Ave #811",135000,1,1,840,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/15600-NW-7th-Ave-33169/unit-811/home/42987758"
"1501 NE 150th St #104",142500,2,1,1085,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1501-NE-150th-St-33161/unit-104/home/43011558"
"14712 SW 169th Ln",152100,3,2,1807,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14712-SW-169th-Ln-33187/home/43209029"
"142 SW 18th Ave #25",170000,1,1,577,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/142-SW-18th-Ave-33135/unit-25/home/43301240"
"11111 Biscayne Blvd Unit 7H",180000,1,1,861,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11111-Biscayne-Blvd-33181/unit-7H/home/43020068"
"7801 NE 4th Ct #103",185000,1,1.5,746,"2025-04-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7801-NE-4th-Ct-33138/unit-103/home/42717296"
"801 NW 47th Ave Unit W315",185000,1,1,598,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/801-NW-47th-Ave-33126/unit-W315/home/43320784"
"479 NE 210th Circle Ter #203",187500,2,2,1060,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/479-NE-210th-Circle-Ter-33179/unit-203/home/42958295"
"5199 NW 7th St Apt 417e",195000,1,1,756,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/5199-NW-7th-St-33126/unit-417E/home/42707566"
"1152 NW 123rd Ct #412",200000,3,2.5,1240,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1152-NW-123rd-Ct-33182/unit-412/home/43045664"
"8002 SW 149th Ave Unit B114",210000,2,2,866,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8002-SW-149th-Ave-33193/unit-B114/home/43137818"
"935 NE 199th St #205",215000,2,2,907,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/935-NE-199th-St-33179/unit-205/home/43375745"
"2960 NW 67th St",216100,2,1,798,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2960-NW-67th-St-33147/home/43039658"
"1540 NE 191st St #344",220000,2,2,1040,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1540-NE-191st-St-33179/unit-344/home/43007773"
"2600 NW 23rd Ct #207",220000,2,1,754,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2600-NW-23rd-Ct-33142/unit-207/home/43441747"
"20725 NE 8th Ct #204",225000,2,2,956,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/FL/Miami/20725-NE-8th-Ct-33179/unit-204/home/42949964"
"852 NE 209 St Unit 101-38",230000,3,2,0,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/FL/Miami/852-NE-209th-St-33179/unit-101/home/42955616"
"6886 N Kendall Dr Unit D309",235000,1,1.5,904,"2025-04-03T07:00:00Z","YES","https://www.redfin.com/FL/Pinecrest/6886-N-Kendall-Dr-33156/unit-D309/home/42916643"
"341 NW 84th St",240000,4,3,1660,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/341-NW-84th-St-33150/home/194184353"
"8660 NW 6th Ln Unit 5-214",240000,1,1,676,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8660-NW-6th-Ln-33126/unit-5-214/home/43322053"
"1670 NE 191st St #114",245000,2,2,1674,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1670-NE-191st-St-33179/unit-114/home/43422765"
"15461 SW 110th Ter",247000,3,2,1492,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/FL/Miami/15461-SW-110th-Ter-33196/home/43190580"
"13884 SW 90th Ave Unit 213HH",250000,1,1,758,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13884-SW-90th-Ave-33176/unit-213HH/home/43358370"
"8000 SW 81st Dr #404",250000,1,1,710,"2025-04-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8000-SW-81st-Dr-33143/unit-404/home/43095903"
"2726 NW 100th St",250000,2,1,1918,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2726-NW-100th-St-33147/home/43026460"
"7722 Camino Real Unit E219",255000,1,1,712,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7722-Camino-Real-33143/unit-E219/home/43104701"
"15455 SW 80th St Unit 202-1",255000,2,2,862,"2025-04-16T07:00:00Z","YES","https://www.redfin.com/FL/Miami/15455-SW-80th-St-33193/unit-202-1/home/194829688"
"14310 SW 105th Ter",260000,3,2,2347,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14310-SW-105th-Ter-33186/home/43192039"
"5077 Nw NW 7th St #1016",260000,1,1,685,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/FL/Miami/5077-NW-7th-St-33126/unit-1016/home/43336264"
"1753 SW 13th St #1",270000,2,1,609,"2025-06-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1753-SW-13th-St-33145/unit-1/home/43402855"
"555 NE 15th St Unit 10J",275000,1,1.5,840,"2025-06-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/555-NE-15th-St-33132/unit-10J/home/42734557"
"511 Ives Dairy Rd Unit 102-6",275000,2,2,1428,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/FL/Miami/511-Ives-Dairy-Rd-33179/unit-102-6/home/194639551"
"10815 SW 112th Ave #208",275000,2,2,927,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/FL/Miami/10815-SW-112th-Ave-33176/unit-208/home/43155583"
"1706 SW 136th Pl",280000,3,2,1826,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1706-SW-136th-Pl-33175/home/43440602"
"1955 NW 53rd St",280000,2,1,930,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1955-NW-53rd-St-33142/home/43037358"
"2941 NW 69th Ter",285000,2,1.5,1218,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2941-NW-69th-Ter-33147/home/43040162"
"6216 SW 131st Pl #203",289000,2,2,820,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/FL/Miami/6216-SW-131st-Pl-33183/unit-203/home/43461668"
"2415 NW 16th St Rd Unit 312-1",289000,2,2,793,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2415-NW-16th-Street-Rd-33125/unit-312-1/home/195316624"
"14951 SW 82nd Ln Unit 17-502",290000,2,2,912,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14951-SW-82nd-Ln-33193/unit-17-502/home/43326784"
"6375 SW 136th Ct Unit 102I",292000,2,2,1030,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/FL/Miami/6375-SW-136th-Ct-33183/unit-102I/home/43132255"
"7378 SW 152 #208",300000,2,3,0,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7378-SW-152nd-Ave-33193/unit-208/home/43138816"
"935 NW 66th St",300000,2,1,994,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/FL/Miami/935-NW-66th-St-33150/home/42686226"
"22679 SW 114th Pl",307000,4,2,1250,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/FL/Miami/22679-SW-114th-Pl-33170/home/43221033"
"3185 SW 4th St",307000,0,0,0,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/3185-SW-4th-St-33135/home/42739221"
"1601 NW 38th St",310000,2,1,796,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1601-NW-38th-St-33142/home/42683036"
"249 NW 102nd St",310000,3,2,1498,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/249-NW-102nd-St-33150/home/43022269"
"13120 SW 92nd Ave Unit B416",314000,2,2,1253,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13120-SW-92nd-Ave-33176/unit-B416/home/43358202"
"12753 SW 69th Ter #12753",315000,3,2,1183,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/12753-SW-69th-Ter-33183/home/43127918"
"1905 SW 107th Ave #1201",320000,2,1.5,828,"2025-04-02T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1905-SW-107th-Ave-33165/unit-1201/home/43062128"
"2345 NW 31st St",320000,2,1,960,"2025-04-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2345-NW-31st-St-33142/home/42693459"
"133 NE 2nd Ave #501",320000,1,1,950,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/133-NE-2nd-Ave-33132/unit-501/home/43389351"
"5249 NW 7th St #418",325000,3,2,1080,"2025-06-20T07:00:00Z","YES","https://www.redfin.com/FL/Miami/5249-NW-7th-St-33126/unit-418/home/43407261"
"9066 SW 73rd Ct #1502",327500,1,1,797,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/FL/Miami/9066-SW-73rd-Ct-33156/unit-1502/home/43357078"
"3301 NW 7th Ave",330000,0,0,0,"2025-04-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/3301-NW-7th-Ave-33127/home/168000155"
"7515 SW 153rd Ct",330000,2,2,917,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7515-SW-153rd-Ct-33193/home/195472946"
"715 NW 136th St",335000,3,1,1318,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/FL/Miami/715-NW-136th-St-33168/home/42996447"
"300 S Biscayne Blvd Unit T2711",337000,1,1,540,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/300-S-Biscayne-Blvd-33131/unit-T2711/home/43442833"
"11214 SW 203rd St",338000,3,1,1080,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11214-SW-203rd-St-33189/home/43218082"
"14911 SW 80th St #103",340000,2,2,900,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14911-SW-80th-St-33193/unit-103/home/43137991"
"555 NE 15th St Unit 15J",345000,1,1,840,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/FL/Miami/555-NE-15th-St-33132/unit-15J/home/42726050"
"9354 SW 77th Ave Unit I5",345000,2,2,1178,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/9354-SW-77th-Ave-33156/unit-I5/home/43147389"
"11272 SW 189th Ln",349000,2,1,885,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11272-SW-189th-Ln-33157/home/43219068"
"6235 SW Kendale Lakes Cir #144",350000,3,2,1090,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/6235-SW-Kendale-Lakes-Cir-33183/unit-144/home/43136369"
"15000 Monroe St",350000,3,2,1525,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/15000-Monroe-St-33176/home/43159111"
"7925 SW 104th St Unit 101E",350000,3,2,1269,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/7925-SW-104th-St-33156/unit-101E/home/43326528"
"427 NW 82nd Ter",350000,4,1,1280,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/FL/Miami/427-NW-82nd-Ter-33150/home/43041518"
"816 NW 11th St #1009",355000,2,2,891,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/816-NW-11th-St-33136/unit-1009/home/43316452"
"17525 SW 104th Ave",355000,0,0,1000,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/FL/Miami/17525-SW-104th-Ave-33157/home/43172033"
"3720 NW 2nd Ter",355000,4,3,1134,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/3720-NW-2nd-Ter-33126/home/42741746"
"11501 SW 145th Ave",359000,3,2,1676,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11501-SW-145th-Ave-33186/home/43189906"
"8925 NW 35th Ct",360000,2,1,856,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8925-NW-35th-Ct-33147/home/43036458"
"282 NW 98th St",368000,2,1,754,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/FL/Miami/282-NW-98th-St-33150/home/43032076"
"335 S Biscayne Blvd #1906",370000,0,1,507,"2025-05-09T07:00:00Z","YES","https://www.redfin.com/FL/Miami/335-S-Biscayne-Blvd-33131/unit-1906/home/43372770"
"941 NW 76th St",370000,2,1,988,"2025-06-17T07:00:00Z","YES","https://www.redfin.com/FL/Miami/941-NW-76th-St-33150/home/43033069"
"9650 Fontainebleau Blvd #4",370000,3,2.5,1770,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/FL/Miami/9650-Fontainebleau-Blvd-33172/unit-4/home/43050219"
"1901 NW South River Dr Unit 18B",380000,2,1,1000,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1901-NW-South-River-Dr-33125/unit-18B/home/42723726"
"117 NW 42nd Ave #900",380000,2,2,942,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/FL/Miami/117-NW-42nd-Ave-33126/unit-900/home/43368312"
"9360 SW 87th Ave Unit N18",380000,2,2,939,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/9360-SW-87th-Ave-33176/unit-N18/home/43153055"
"17360 SW 139th Ct",380000,3,2,1270,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/FL/Miami/17360-SW-139th-Ct-33177/home/43210534"
"1655 NE 115th St Unit B44",385000,2,2,1285,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1655-NE-115th-St-33181/unit-B44/home/43020452"
"13104 SW 50 Ln",389000,3,1,1015,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13104-SW-50th-Ln-33175/home/43129272"
"1110 NW 140th St",399000,3,2,1162,"2025-04-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1110-NW-140th-St-33168/home/42998296"
"8370 NW 10th St Unit 11A",399000,2,2.5,1090,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/FL/Miami/8370-NW-10th-St-33126/unit-11A/home/43025275"
"13225 SW 58th Ter #17",400000,3,2,1190,"2025-04-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13225-SW-58th-Ter-33183/unit-17/home/43129647"
"15041 SW 149th St",400000,3,2,2153,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/FL/Miami/15041-SW-149th-St-33196/home/43189700"
"110 NE 68th St",401000,3,2,1320,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/110-NE-68th-St-33138/home/42680639"
"11615 SW 136th Ter",405000,4,1.5,1144,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11615-SW-136th-Ter-33176/home/43159911"
"200 SE 15th Rd Unit 7H",415000,1,1,612,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/200-SE-15th-Rd-33129/unit-7H/home/42764980"
"1913 SW 129th Ct",415000,2,1,980,"2025-06-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1913-SW-129th-Ct-33175/home/43109412"
"3840 NW 12th Ter",420000,3,2,1099,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/FL/Miami/3840-NW-12th-Ter-33126/home/42716263"
"13913 SW 174th St",420000,3,2,1270,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13913-SW-174th-St-33177/home/43207054"
"14615 SW 143 Place Cir #14615",420000,2,2,1449,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14615-SW-143rd-Place-Cir-33186/home/43197127"
"3035 NW 44th St",420000,3,1,780,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/3035-NW-44th-St-33142/home/43042407"
"5250 NW 4th St",420000,3,1,1192,"2025-04-30T07:00:00Z","YES","https://www.redfin.com/FL/Miami/5250-NW-4th-St-33126/home/42740727"
"14409 SW 143rd Ct",430000,2,2,1449,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/FL/Miami/14409-SW-143rd-Ct-33186/home/43198181"
"1930 NW 132nd St",430500,3,2,1385,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1930-NW-132nd-St-33167/home/42993010"
"1776 NW 44th St",436100,2,1,1414,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1776-NW-44th-St-33142/home/42681132"
"820 NW 50th St",440000,3,2,1376,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/FL/Miami/820-NW-50th-St-33127/home/42690130"
"119 SW 32nd Ave",440000,4,3,2408,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/FL/Miami/119-SW-32nd-Ave-33135/home/42739729"
