# Nashville, TN Baseline Calculation Summary
# Generated: 2025-06-25T06:44:51.649Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $529,000
# Price Range (after outliers): $185,000 - $5,167,715
# Median Calculation: Middle value: $529,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"2420B Jefferson St",25000,0,0,0,"2025-05-05T07:00:00Z","NO (outlier)","https://www.redfin.com/TN/Nashville/2420B-Jefferson-St-37208/home/195473864"
"916 Morrison St",150000,0,0,0,"2025-04-16T07:00:00Z","NO (outlier)","https://www.redfin.com/TN/Nashville/916-Morrison-St-37208/home/108026242"
"1827 Springfield Hwy",181000,2,2,1000,"2025-04-03T07:00:00Z","NO (outlier)","https://www.redfin.com/TN/Goodlettsville/1827-Springfield-Hwy-37072/home/172298749"
"2513 Buchanan St",185000,3,1.5,1501,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2513-Buchanan-St-37208/home/87829096"
"1808 Cephas St",199900,2,1,848,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1808-Cephas-St-37208/home/108020707"
"1613 Elizabeth Rd",205000,2,1,1260,"2025-06-12T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1613-Elizabeth-Rd-37218/home/108031242"
"3167 Trails End Ln",222000,3,2,1044,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3167-Trails-End-Ln-37214/home/107977870"
"106 Becker Ave",225000,3,1,1160,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/TN/Old-Hickory/106-Becker-Ave-37138/home/68773293"
"3337 Chesapeake Cir",230000,2,1,895,"2025-06-16T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3337-Chesapeake-Cir-37207/home/108112602"
"1842 25th Ave N",230000,3,2,1530,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1842-25th-Ave-N-37208/home/108052490"
"3923 Pheasant Dr",230000,3,2,1910,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3923-Pheasant-Dr-37218/home/107995354"
"1713 Shorecrest Pt",230600,3,2.5,1390,"2025-06-07T07:00:00Z","YES","https://www.redfin.com/TN/Whites-Creek/1713-Shorecrest-Pt-37189/home/108105048"
