# Phoenix, AZ Baseline Calculation Summary
# Generated: 2025-06-25T06:44:54.806Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $460,000
# Price Range (after outliers): $150,000 - $3,780,000
# Median Calculation: Middle value: $460,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"1402 W Estes Way",60000,0,0,1248,"2025-05-30T07:00:00Z","NO (outlier)","https://www.redfin.com/AZ/Phoenix/1402-W-Estes-Way-85041/home/27846167"
"8437 S 21st Pl",110000,0,0,0,"2025-06-05T07:00:00Z","NO (outlier)","https://www.redfin.com/AZ/Phoenix/8437-S-21st-Pl-85042/home/28379912"
"9035 W Elm St #3",120000,0,2,803,"2025-06-10T07:00:00Z","NO (outlier)","https://www.redfin.com/AZ/Phoenix/9035-W-Elm-St-85037/unit-3/home/28384466"
"349 E Thomas Rd #402",150000,0,1,754,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/349-E-Thomas-Rd-85012/unit-402/home/27485383"
"1341 W Fillmore St",153000,0,0,0,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1341-W-Fillmore-St-85007/home/27972875"
"351 E Thomas Rd Unit D106",155500,1,1,754,"2025-06-09T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/351-E-Thomas-Rd-85012/unit-D106/home/28052410"
"2121 W Royal Palm Rd #2100",160000,0,1,632,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2121-W-Royal-Palm-Rd-85021/unit-2100/home/28204741"
"00 N 5th Ave Unit -",175000,0,0,0,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/0-N-5th-Ave-85003/Unit/home/195922841"
"2121 W Royal Palm Rd #1033",179000,0,2,706,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2121-W-Royal-Palm-Rd-85021/unit-1033/home/28188115"
"6531 N 44th Ave",195000,0,2,1576,"2025-04-02T07:00:00Z","YES","https://www.redfin.com/AZ/Glendale/6531-N-44th-Ave-85301/home/28373567"
"10410 N Cave Creek Rd #1078",200000,1,1,789,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/10410-N-Cave-Creek-Rd-85020/unit-1078/home/28154226"
