"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"785 Jasmine St","Denver","CO","1025000","6/30/2025","4","2","2227","https://www.redfin.com/CO/Denver/785-Jasmine-St-80220/home/34171273"
"895 S Clarkson St","Denver","CO","900000","6/26/2025","2","1","1588","https://www.redfin.com/CO/Denver/895-S-Clarkson-St-80209/home/34130438"
"3001 S Vine St","Denver","CO","850000","6/30/2025","4","2.5","2919","https://www.redfin.com/CO/Denver/3001-S-Vine-St-80210/home/34166322"
"24 Oneida Ct","Denver","CO","796800","7/1/2025","2","2.5","1582","https://www.redfin.com/CO/Denver/24-Oneida-Ct-80224/home/195957343"
"2128 S Humboldt St","Denver","CO","675000","6/30/2025","4","2","1256","https://www.redfin.com/CO/Denver/2128-S-Humboldt-St-80210/home/34155080"
"1616 14th St Unit 4E","Denver","CO","668000","7/2/2025","1","1.5","2106","https://www.redfin.com/CO/Denver/1616-14th-St-80202/unit-4E/home/34085473"
"2986 S Elm St","Denver","CO","615000","6/30/2025","3","2","1545","https://www.redfin.com/CO/Denver/2986-S-Elm-St-80222/home/34196976"
"187 S Pearl St","Denver","CO","599900","6/27/2025","2","1","1041","https://www.redfin.com/CO/Denver/187-S-Pearl-St-80209/home/34019480"
"1410 Meade","Denver","CO","445000","6/23/2025","4","2","1923","https://www.redfin.com/CO/Denver/1410-S-Meade-St-80219/home/34137958"
"3531 Forest St","Denver","CO","389900","6/24/2025","4","1.75","1734","https://www.redfin.com/CO/Denver/3531-Forest-St-80207/home/34047211"
"1200 Vine St Unit 7E","Denver","CO","324500","6/23/2025","1","1","616","https://www.redfin.com/CO/Denver/1200-Vine-St-80206/unit-7E/home/34226436"
"7027 E Girard Ave Unit A","Denver","CO","293000","6/30/2025","2","2","1549","https://www.redfin.com/CO/Denver/7027-E-Girard-Ave-80224/unit-A/home/34200699"
"555 Alton Way Unit E","Denver","CO","201561","6/26/2025","2","2","1269","https://www.redfin.com/CO/Denver/555-Alton-Way-80230/unit-E/home/34031474"
"8060 E Girard Ave #918","Denver","CO","115000","7/1/2025","1","1","808","https://www.redfin.com/CO/Denver/8060-E-Girard-Ave-80231/unit-918/home/34202812"
