"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"7524 Ciano Ln","Houston","TX","1850000","6/24/2025","5","5.5","5270","https://www.redfin.com/TX/Houston/7524-Ciano-Ln-77055/home/52562658"
"14430 Kingston Cove Ln","Houston","TX","1060000","7/1/2025","5","4.5","3890","https://www.redfin.com/TX/Houston/14430-Kingston-Cove-Ln-77077/home/52557153"
"14619 Broadgreen Dr","Houston","TX","949000","6/30/2025","4","2.5","2802","https://www.redfin.com/TX/Houston/14619-Broadgreen-Dr-77079/home/30221879"
"2012 W 14th St Unit B","Houston","TX","850000","6/27/2025","3","3.5","2758","https://www.redfin.com/TX/Houston/2012-W-14th-St-77008/unit-B/home/29983069"
"6343 E Mystic Mdw","Houston","TX","575000","6/24/2025","3","3.5","2703","https://www.redfin.com/TX/Houston/6343-E-Mystic-Mdw-77021/home/29160053"
"9809 Hope Harbor Ln","Houston","TX","550000","7/3/2025","4","3.5","2251","https://www.redfin.com/TX/Houston/9809-Hope-Harbor-Ln-77080/home/45414320"
"9227 Ashville Dr","Houston","TX","540000","6/27/2025","3","2","3088","https://www.redfin.com/TX/Houston/9227-Ashville-Dr-77051/home/194240976"
"1410 Knox St","Houston","TX","495000","7/1/2025","3","2.5","2024","https://www.redfin.com/TX/Houston/1410-Knox-St-77007/home/29576475"
"2025 Welch St","Houston","TX","485000","7/1/2025","3","3.5","2272","https://www.redfin.com/TX/Houston/2025-Welch-St-77019/home/29821749"
"2706 Grand Fountains Dr Unit D","Houston","TX","474990","6/24/2025","3","3.5","2177","https://www.redfin.com/TX/Houston/2706-Grand-Fountains-Dr-77054/unit-D/home/195870152"
"6618 Ivy Heath Ln","Houston","TX","445000","7/2/2025","4","2","2471","https://www.redfin.com/TX/Houston/6618-Ivy-Heath-Ln-77041/home/29284259"
"8430 Snowy Owl Ln","Houston","TX","425380","6/30/2025","4","3.5","2837","https://www.redfin.com/TX/Houston/8430-Snowy-Owl-LN-77049/home/195261673"
"2715 Strathwood Ln","Houston","TX","419500","6/26/2025","3","3.5","2344","https://www.redfin.com/TX/Houston/2715-Strathwood-Ln-77082/home/108996145"
"2635 Bandelier Dr","Houston","TX","400000","6/27/2025","4","2","2103","https://www.redfin.com/TX/Houston/2635-Bandelier-Dr-77080/home/30199400"
"9730 Tuffly St Unit A/B","Houston","TX","385000","6/27/2025","3","2","2310","https://www.redfin.com/TX/Houston/9730-Tuffly-St-77029/unit-A-B/home/194178004"
"9008 Orange Spring Dr","Houston","TX","359900","6/30/2025","3","2.5","1461","https://www.redfin.com/TX/Houston/9008-Orange-Spring-Dr-77080/home/173669195"
"6026 Tc Jester Blvd","Houston","TX","334700","6/30/2025","3","2.5","1623","https://www.redfin.com/TX/Houston/6026-T-C-Jester-Blvd-77091/home/188351792"
"8007 Creede Dr","Houston","TX","310000","6/30/2025","3","3.5","2521","https://www.redfin.com/TX/Houston/8007-Creede-Dr-77040/home/29215947"
"4718 Country Spring Rd","Houston","TX","289900","6/27/2025","3","2","1933","https://www.redfin.com/TX/Houston/4718-Country-Spring-Rd-77084/home/30589677"
"4107 Grapevine St","Houston","TX","257000","6/23/2025","3","2","1439","https://www.redfin.com/TX/Houston/4107-Grapevine-St-77045/home/30138132"
"2503 Sherwood Hollow Ln","Houston","TX","255000","6/30/2025","3","2","1511","https://www.redfin.com/TX/Kingwood/2503-Sherwood-Hollow-Ln-77339/home/30619356"
"7406 Sierra Grande Ct","Houston","TX","225000","6/26/2025","3","2","1482","https://www.redfin.com/TX/Houston/7406-Sierra-Grande-Ct-77083/home/32946219"
