"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"404 W Brookfield Ave","Nashville","TN","6700000","6/24/2025","5","5","6871","https://www.redfin.com/TN/Nashville/404-W-Brookfield-Ave-37205/home/60841644"
"1209 Nichol Ln","Nashville","TN","3010000","6/27/2025","4","4","5055","https://www.redfin.com/TN/Nashville/1209-Nichol-Ln-37205/home/78769804"
"2608 Wayland Ct","Nashville","TN","1300000","7/1/2025","4","3.5","3548","https://www.redfin.com/TN/Nashville/2608-Wayland-Ct-37215/home/108132671"
"1622 S Observatory Dr","Nashville","TN","970000","6/24/2025","4","2.5","2895","https://www.redfin.com/TN/Nashville/1622-S-Observatory-Dr-37215/home/68858032"
"1013 Sycamore Ests","Nashville","TN","953560","6/25/2025","5","3.5","3750","https://www.redfin.com/TN/Nashville/1013-Sycamore-Ests-37211/home/195831208"
"1049 Sycamore Ests","Nashville","TN","951256","6/27/2025","5","4.5","3194","https://www.redfin.com/TN/Nashville/1049-Sycamore-Ests-37211/home/195831217"
"3024 Edwin Cir","Nashville","TN","745000","6/26/2025","4","3.5","2451","https://www.redfin.com/TN/Nashville/3024-Edwin-Cir-37207/home/178257236"
"2920 Westmoreland Dr","Nashville","TN","720000","7/3/2025","3","2","1712","https://www.redfin.com/TN/Nashville/2920-Westmoreland-Dr-37212/home/87805458"
"1913 Russell St","Nashville","TN","600000","7/3/2025","","","","https://www.redfin.com/TN/Nashville/1913-Russell-St-37206/home/108075294"
"2011 Forrest Green Dr","Nashville","TN","590000","7/4/2025","3","2","1800","https://www.redfin.com/TN/Nashville/2011-Forrest-Green-Dr-37216/home/87454383"
"1821A Tammany Dr","Nashville","TN","575000","6/23/2025","2","2","1203","https://www.redfin.com/TN/Nashville/1821-Tammany-Dr-37216/home/178257532"
"1748 Haleys Hope Ct","Nashville","TN","535000","6/26/2025","3","2","2114","https://www.redfin.com/TN/Nashville/1748-Haleys-Hope-Ct-37209/home/68849647"
"333 E Village Ln","Nashville","TN","520000","6/25/2025","3","3.5","1819","https://www.redfin.com/TN/Nashville/333-E-Village-Ln-37216/home/174894203"
"5677 Old Hickory Blvd","Nashville","TN","475000","6/30/2025","3","1","2070","https://www.redfin.com/TN/Nashville/5677-Old-Hickory-Blvd-37218/home/107997140"
"1409 Haysboro Ave","Nashville","TN","350000","6/23/2025","","","","https://www.redfin.com/TN/Nashville/1409-Haysboro-Ave-37216/home/60784616"
"651 Longhunter Ct","Nashville","TN","275000","6/24/2025","3","3.5","1950","https://www.redfin.com/TN/Nashville/651-Longhunter-Ct-37217/home/60657893"
