"City","Total Sales","Highest Price","Highest Address"
"Dallas","27","1200000","6633 Greenwich Ln"
"Denver","14","1025000","785 Jasmine St"
"Houston","22","1850000","7524 Ciano Ln"
"Las Vegas","30","10750000","39 Crested Cloud Way"
"Los Angeles","9","4550000","442 Kelton Ave"
"Miami","5","770000","10430 SW 133rd Ct"
"Nashville","16","6700000","404 W Brookfield Ave"
"New Orleans","12","875000","1140 Decatur St #4"
"New York","30","4150000","134 Pierrepont St Unit 5I"
"Phoenix","18","1150000","36923 N 31st Ave"
"San Francisco","15","4300000","168 25th Ave"
"Tampa","13","1085000","418 W Frances Ave #1"
