"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"418 W Frances Ave #1","Tampa","FL","1085000","6/25/2025","4","3.5","2700","https://www.redfin.com/FL/Tampa/418-W-Frances-Ave-33602/unit-1/home/194815412"
"115 W Gladys St #2","Tampa","FL","864000","7/2/2025","3","3.5","2125","https://www.redfin.com/FL/Tampa/115-W-Gladys-St-33602/unit-2/home/177797117"
"484 Itasca Ave","Tampa","FL","750000","6/30/2025","4","2","1822","https://www.redfin.com/FL/Tampa/484-Itasca-Ave-33606/home/47344420"
"4836 W San Jose St","Tampa","FL","710000","6/26/2025","4","3","2954","https://www.redfin.com/FL/Tampa/4836-W-San-Jose-St-33629/home/47281629"
"12509 Loquat Way","Tampa","FL","432500","7/1/2025","3","2","1490","https://www.redfin.com/FL/Tampa/12509-Loquat-Way-33626/home/47072900"
"8408 Flagstone Dr","Tampa","FL","430000","7/2/2025","3","3","1386","https://www.redfin.com/FL/Tampa/8408-Flagstone-Dr-33615/home/47096682"
"811 E Flora St","Tampa","FL","395000","6/24/2025","3","2","1289","https://www.redfin.com/FL/Tampa/811-E-Flora-St-33604/home/47320354"
"4421 Rachel Falls Dr","Tampa","FL","321990","7/3/2025","3","2.5","1464","https://www.redfin.com/FL/Tampa/4421-Rachel-Falls-Dr-33610/home/194817829"
"1801 E Mcberry St","Tampa","FL","319000","6/24/2025","4","2","1505","https://www.redfin.com/FL/Tampa/1801-E-McBerry-St-33610/home/47317609"
"7416 Manchester Ln","Tampa","FL","310000","6/26/2025","4","2","1364","https://www.redfin.com/FL/Tampa/7416-Manchester-Ln-33619/home/47160853"
"18001 Richmond Place Dr #337","Tampa","FL","209000","7/1/2025","2","2","1083","https://www.redfin.com/FL/Tampa/18001-Richmond-Place-Dr-33647/unit-337/home/47024375"
"1201 High Hammock Dr #302","Tampa","FL","185000","6/30/2025","2","2","1222","https://www.redfin.com/FL/Tampa/1201-High-Hammock-Dr-33619/unit-302/home/47018144"
"4102 N 26th St","Tampa","FL","130000","6/30/2025","","","","https://www.redfin.com/FL/Tampa/4102-N-26th-St-33610/home/47317194"
