"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"6633 Greenwich Ln","Dallas","TX","1200000","6/30/2025","","","","https://www.redfin.com/TX/Dallas/6633-Greenwich-Ln-75230/home/31018694"
"6311 Del Norte Ln","Dallas","TX","1200000","6/26/2025","3","2","1945","https://www.redfin.com/TX/Dallas/6311-Del-Norte-Ln-75225/home/30873913"
"4033 Hawthorne Ave","Dallas","TX","1100000","6/30/2025","2","2","3272","https://www.redfin.com/TX/Dallas/4033-Hawthorne-Ave-75219/home/30809576"
"6625 Bandera Ave Unit 1A","Dallas","TX","895000","6/30/2025","2","2.5","2407","https://www.redfin.com/TX/Dallas/6625-Bandera-Ave-75225/unit-1A/home/30788836"
"10939 Cinderella Ln","Dallas","TX","875000","6/30/2025","3","2","1980","https://www.redfin.com/TX/Dallas/10939-Cinderella-Ln-75229/home/30911400"
"8907 Meadowknoll Dr","Dallas","TX","859900","6/23/2025","4","3","3175","https://www.redfin.com/TX/Dallas/8907-Meadowknoll-Dr-75243/home/31070359"
"3988 Gaspar Dr","Dallas","TX","700000","6/23/2025","4","2","1818","https://www.redfin.com/TX/Dallas/3988-Gaspar-Dr-75220/home/30911663"
"4633 New Water Ln","Dallas","TX","671900","6/27/2025","3","3.5","2059","https://www.redfin.com/TX/Dallas/4633-New-Water-Ln-75219/home/169388330"
"16805 Deer Park Dr","Dallas","TX","599000","6/30/2025","4","3","2831","https://www.redfin.com/TX/Dallas/16805-Deer-Park-Dr-75248/home/31084060"
"2811 Maple Springs Blvd","Dallas","TX","549900","6/27/2025","2","1","1352","https://www.redfin.com/TX/Dallas/2811-Maple-Springs-Blvd-75235/home/30814057"
"3737 Dunhaven Rd","Dallas","TX","520000","7/3/2025","3","2","1126","https://www.redfin.com/TX/Dallas/3737-Dunhaven-Rd-75220/home/30911751"
"12703 Preston Rd","Dallas","TX","499000","6/27/2025","4","2","2614","https://www.redfin.com/TX/Dallas/12703-Preston-Rd-75230/home/30964230"
"3629 Vancouver Dr","Dallas","TX","475000","7/3/2025","3","2","1822","https://www.redfin.com/TX/Dallas/3629-Vancouver-Dr-75229/home/30931101"
"2650 Gooch St","Dallas","TX","408000","7/3/2025","4","3.5","2154","https://www.redfin.com/TX/Dallas/2650-Gooch-St-75241/home/30949162"
"3227 Dothan Ln","Dallas","TX","399000","6/27/2025","4","2","1864","https://www.redfin.com/TX/Dallas/3227-Dothan-Ln-75229/home/30930721"
"6319 Bandera Ave Unit 6319D","Dallas","TX","329000","6/27/2025","2","2","1691","https://www.redfin.com/TX/Dallas/6319-Bandera-Ave-75225/unit-D/home/30873694"
"1230 Okeechobee Dr","Dallas","TX","321398","7/1/2025","4","2","2062","https://www.redfin.com/TX/Dallas/1230-Okeechobee-Dr-75253/home/195434500"
"14333 Preston Rd #1103","Dallas","TX","295000","6/30/2025","2","2.5","1384","https://www.redfin.com/TX/Dallas/14333-Preston-Rd-75254/unit-1103/home/31180553"
"10524 Grady Ln","Dallas","TX","282999","6/23/2025","3","1","1107","https://www.redfin.com/TX/Dallas/10524-Grady-Ln-75217/home/30939169"
"4166 Sweet Fennel Dr","Dallas","TX","282900","6/30/2025","3","2","1175","https://www.redfin.com/TX/Dallas/4166-Sweet-Fennel-Dr-75241/home/188124516"
"511 Hershel St","Dallas","TX","280201","6/25/2025","3","2","1474","https://www.redfin.com/TX/Dallas/511-Hershel-St-75241/home/195808277"
"3832 Mount Ranier St","Dallas","TX","255000","6/27/2025","5","4","2078","https://www.redfin.com/TX/Dallas/3832-Mount-Ranier-St-75211/home/30889866"
"1920 Calypso St","Dallas","TX","250000","6/27/2025","3","2","1436","https://www.redfin.com/TX/Dallas/1920-Calypso-St-75212/home/30976739"
"2436 Easley St","Dallas","TX","238500","6/27/2025","3","2","1414","https://www.redfin.com/TX/Dallas/2436-Easley-St-75215/home/30817464"
"3121 Millmar Dr","Dallas","TX","159000","6/30/2025","3","2","1392","https://www.redfin.com/TX/Dallas/3121-Millmar-Dr-75228/home/31009142"
"1724 Jb Jackson Jr Blvd Unit J","Dallas","TX","105000","7/2/2025","","","","https://www.redfin.com/TX/Dallas/1724-Jb-Jackson-Jr-Blvd-75210/unit-J/home/30797813"
"1724 Jb Jackson Jr Blvd","Dallas","TX","105000","7/2/2025","","","","https://www.redfin.com/TX/Dallas/1724-J-B-Jackson-Junior-Blvd-75210/home/196157589"
"3119 Tuskegee St","Dallas","TX","85000","6/30/2025","2","1","720","https://www.redfin.com/TX/Dallas/3119-Tuskegee-St-75215/home/30804290"
