"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"39 Crested Cloud Way","Las Vegas","NV","10750000","7/3/2025","5","4.75","7669","https://www.redfin.com/NV/Las-Vegas/39-Crested-Cloud-Way-89135/home/166486941"
"9390 Stange Ave","Las Vegas","NV","1970000","6/25/2025","5","3.5","3451","https://www.redfin.com/NV/Las-Vegas/9390-Stange-Ave-89129/home/29859371"
"3362 Birchwood Park Cir","Las Vegas","NV","1325000","6/27/2025","3","3.5","3165","https://www.redfin.com/NV/Las-Vegas/3362-Birchwood-Park-Cir-89141/home/29043631"
"2257 Lauren Dr","Las Vegas","NV","945000","6/27/2025","3","2.5","2798","https://www.redfin.com/NV/Las-Vegas/2257-Lauren-Dr-89134/home/29107092"
"8125 Turbys Treehouse Pl","Las Vegas","NV","750000","6/24/2025","4","3","2808","https://www.redfin.com/NV/Las-Vegas/8125-Turbys-Treehouse-Pl-89131/home/29271863"
"10507 Oak Terrace Ave","Las Vegas","NV","615000","6/25/2025","3","2.5","2156","https://www.redfin.com/NV/Las-Vegas/10507-Oak-Terrace-Ave-89149/home/44595290"
"7256 Saxby Ave","Las Vegas","NV","570000","7/1/2025","5","4","2466","https://www.redfin.com/NV/Las-Vegas/7256-Saxby-Ave-89113/home/177141870"
"2328 Hot Oak Ridge St","Las Vegas","NV","560000","7/3/2025","2","2","2162","https://www.redfin.com/NV/Las-Vegas/2328-Hot-Oak-Ridge-St-89134/home/29107334"
"5221 Crooked River Cir","Las Vegas","NV","530000","7/3/2025","3","2.5","1596","https://www.redfin.com/NV/Las-Vegas/5221-Crooked-River-Cir-89149/home/29099499"
"6664 Secluded Ave","Las Vegas","NV","450000","6/24/2025","4","3.5","2548","https://www.redfin.com/NV/Las-Vegas/6664-Secluded-Ave-89110/home/29397405"
"6597 Kanaka Peak Ct","Las Vegas","NV","370000","7/3/2025","3","2","1504","https://www.redfin.com/NV/Las-Vegas/6597-Kanaka-Peak-Ct-89156/home/29360007"
"116 Sirnoble St","Las Vegas","NV","370000","6/27/2025","3","2.5","1503","https://www.redfin.com/NV/Las-Vegas/116-Sirnoble-St-89110/home/29392696"
"5124 Silverheart Ave","Las Vegas","NV","360000","6/24/2025","3","2.5","1422","https://www.redfin.com/NV/Las-Vegas/5124-Silverheart-Ave-89142/home/29403168"
"11258 Essence Point Ave #305","Las Vegas","NV","353000","7/1/2025","1","1","834","https://www.redfin.com/NV/Las-Vegas/11258-Essence-Point-Ave-89135/unit-305/home/165920636"
"9157 Acclamation Ct","Las Vegas","NV","345000","6/30/2025","3","2.5","1258","https://www.redfin.com/NV/Las-Vegas/9157-Acclamation-Ct-89149/home/29022106"
"2921 Mitzi Ave","Las Vegas","NV","335000","6/30/2025","4","2","1356","https://www.redfin.com/NV/Las-Vegas/2921-Mitzi-Ave-89101/home/29332073"
"4516 Cielo Ln","Las Vegas","NV","335000","7/3/2025","3","1.75","1244","https://www.redfin.com/NV/Las-Vegas/4516-Cielo-Ln-89130/home/29116612"
"4201 Las Lomas Ave","Las Vegas","NV","331100","6/23/2025","3","2","1192","https://www.redfin.com/NV/Las-Vegas/4201-Las-Lomas-Ave-89102/home/29461512"
"7116 Bramble Ct","Las Vegas","NV","325000","6/30/2025","4","1.75","1056","https://www.redfin.com/NV/Las-Vegas/7116-Bramble-Ct-89145/home/29223745"
"1150 Red Margin Ct #101","Las Vegas","NV","319999","6/27/2025","2","2","1189","https://www.redfin.com/NV/Las-Vegas/1150-Red-Margin-Ct-89183/unit-101/home/29295676"
"10065 Hemet Dr","Las Vegas","NV","319000","6/24/2025","2","2","1007","https://www.redfin.com/NV/Las-Vegas/10065-Hemet-Dr-89134/home/29150989"
"368 Crestview Dr","Las Vegas","NV","295000","6/24/2025","","","","https://www.redfin.com/NV/Las-Vegas/368-Crestview-Dr-89124/home/166463043"
"6538 Blooming Sun Ct","Las Vegas","NV","294800","6/27/2025","4","2","1521","https://www.redfin.com/NV/Las-Vegas/6538-Blooming-Sun-Ct-89142/home/29827934"
"5135 Paradise Valley Ave","Las Vegas","NV","280000","7/2/2025","3","2.5","1188","https://www.redfin.com/NV/Las-Vegas/5135-Paradise-Valley-Ave-89156/home/29921272"
"8408 Running Deer Ave #103","Las Vegas","NV","243000","6/27/2025","2","2","1108","https://www.redfin.com/NV/Las-Vegas/8408-Running-Deer-Ave-89145/unit-103/home/29217653"
"3070 Tarpon Dr #102","Las Vegas","NV","200000","6/23/2025","2","1.75","1020","https://www.redfin.com/NV/Las-Vegas/3070-Tarpon-Dr-89120/unit-102/home/29511963"
"2606 S Durango Dr #176","Las Vegas","NV","185000","7/3/2025","2","2","964","https://www.redfin.com/NV/Las-Vegas/2606-S-Durango-Dr-89117/unit-176/home/29010662"
"5710 E Tropicana Ave #1018","Las Vegas","NV","181000","7/3/2025","1","1","695","https://www.redfin.com/NV/Las-Vegas/5710-E-Tropicana-Ave-89122/unit-1018/home/29431642"
"5655 E Sahara Ave #1052","Las Vegas","NV","160000","7/3/2025","2","1","774","https://www.redfin.com/NV/Las-Vegas/5655-E-Sahara-Ave-89142/unit-1052/home/29827912"
"3563 Legendary Dr","Las Vegas","NV","160000","6/23/2025","3","2","1500","https://www.redfin.com/NV/Las-Vegas/3563-Legendary-Dr-89121/home/29423284"
"2451 N Rainbow Blvd #1045","Las Vegas","NV","128000","6/30/2025","1","0.75","1128","https://www.redfin.com/NV/Las-Vegas/2451-N-Rainbow-Blvd-89108/unit-1045/home/29061506"
