"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"1140 Decatur St #4","New Orleans","LA","875000","6/30/2025","2","2.5","1851","https://www.redfin.com/LA/New-Orleans/1140-Decatur-St-70116/unit-4/home/114022655"
"816 Peniston St","New Orleans","LA","845000","6/30/2025","3","3","2325","https://www.redfin.com/LA/New-Orleans/816-Peniston-St-70115/home/85486177"
"1510 Camp St","New Orleans","LA","730000","6/30/2025","2","2","1510","https://www.redfin.com/LA/New-Orleans/1510-Camp-St-70130/home/85406843"
"801 Napoleon Ave","New Orleans","LA","530000","7/1/2025","3","2","1636","https://www.redfin.com/LA/New-Orleans/801-Napoleon-Ave-70115/home/85486134"
"6244 Louis Xiv St","New Orleans","LA","450000","7/3/2025","2","2","1865","https://www.redfin.com/LA/New-Orleans/6244-Louis-Xiv-St-70124/home/85414070"
"4736 Bienville St","New Orleans","LA","329500","6/27/2025","2","1","1137","https://www.redfin.com/LA/New-Orleans/4736-Bienville-St-70119/home/85412917"
"800 N Rendon St #203","New Orleans","LA","315000","7/1/2025","1","1","968","https://www.redfin.com/LA/New-Orleans/800-N-Rendon-70119/unit-203/home/196010683"
"5219 Magazine St Unit B","New Orleans","LA","270000","7/1/2025","1","1","645","https://www.redfin.com/LA/New-Orleans/5219-Magazine-St-70115/unit-B/home/79435255"
"4514 Metropolitan St","New Orleans","LA","185000","6/30/2025","3","2","1350","https://www.redfin.com/LA/New-Orleans/4514-Metropolitan-Dr-70126/home/85460437"
"1223 25 Elizardi St","New Orleans","LA","160000","6/24/2025","4","2","1655","https://www.redfin.com/LA/New-Orleans/1223-Elizardi-Blvd-70114/home/195286155"
"8537 Apricot St","New Orleans","LA","100000","6/27/2025","6","2","1898","https://www.redfin.com/LA/New-Orleans/8537-Apricot-St-70118/home/85498503"
"1217 19 Elizardi St","New Orleans","LA","16000","6/24/2025","4","2","1655","https://www.redfin.com/LA/New-Orleans/1217-19-Elizardi-Blvd-70114/home/195274716"
