"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"237 Bayview Ave","New York","NY","1750000","7/2/2025","5","5.5","4466","https://www.redfin.com/NY/Staten-Island/237-Bayview-Ave-10309/home/56117569"
"13 Waterford Ct","New York","NY","1448500","7/2/2025","3","1","3810","https://www.redfin.com/NY/Staten-Island/13-Waterford-Ct-10305/home/183296230"
"137 Sommer Ave","New York","NY","1170000","6/30/2025","4","3.5","2473","https://www.redfin.com/NY/Staten-Island/137-Sommer-Ave-10314/home/56038097"
"936 Carlton Blvd","New York","NY","1130000","6/24/2025","4","2.5","2340","https://www.redfin.com/NY/Staten-Island/936-Carlton-Blvd-10312/home/56137851"
"276 Maybury Ave","New York","NY","1070000","7/2/2025","4","1.5","2728","https://www.redfin.com/NY/Staten-Island/276-Maybury-Ave-10308/home/56084091"
"179 Eltingville Blvd","New York","NY","999000","6/26/2025","6","2","2250","https://www.redfin.com/NY/Staten-Island/179-Eltingville-Blvd-10312/home/56023739"
"38 Markham Pl","New York","NY","980000","6/25/2025","6","5","2337","https://www.redfin.com/NY/Staten-Island/38-Markham-Pl-10314/home/193521450"
"429 Alter Ave Unit B","New York","NY","937000","7/2/2025","3","3","1730","https://www.redfin.com/NY/Staten-Island/429-Alter-Ave-10305/unit-B/home/196263060"
"471 Lincoln Ave","New York","NY","935000","6/30/2025","3","3.25","1080","https://www.redfin.com/NY/Staten-Island/471-Lincoln-Ave-10306/home/56132048"
"123 Adams Ave","New York","NY","930000","7/2/2025","3","3.25","1728","https://www.redfin.com/NY/Staten-Island/123-Adams-Ave-10306/home/56138742"
"78 Stack Drive Dr","New York","NY","825000","6/30/2025","4","3.25","2392","https://www.redfin.com/NY/Staten-Island/78-Stack-Dr-10312/home/56080064"
"189 Chestnut Ave","New York","NY","785000","6/23/2025","4","2.5","2760","https://www.redfin.com/NY/Staten-Island/189-Chestnut-Ave-10305/home/56095167"
"25 Gwenn Loop","New York","NY","729000","6/23/2025","3","2.5","1440","https://www.redfin.com/NY/Staten-Island/25-Gwenn-Loop-10314/home/56112891"
"4 Russek Dr","New York","NY","725000","6/26/2025","3","1.5","1826","https://www.redfin.com/NY/Staten-Island/4-Russek-Dr-10312/home/56035330"
"52 Wild Ave","New York","NY","720000","6/27/2025","3","3.5","1440","https://www.redfin.com/NY/Staten-Island/52-Wild-Ave-10314/home/56026325"
"65 Anderson St","New York","NY","720000","7/3/2025","6","3","1592","https://www.redfin.com/NY/Staten-Island/65-Anderson-St-10305/home/56132012"
"79 Byrne Ave","New York","NY","685000","7/1/2025","3","1.75","1760","https://www.redfin.com/NY/Staten-Island/79-Byrne-Ave-10314/home/56094995"
"278 Cortelyou Ave","New York","NY","660000","7/2/2025","3","1.5","1120","https://www.redfin.com/NY/Staten-Island/278-Cortelyou-Ave-10312/home/56032310"
"66 Sandalwood Dr","New York","NY","630000","7/1/2025","3","1.5","1440","https://www.redfin.com/NY/Staten-Island/66-Sandalwood-Dr-10308/home/56054162"
"67 Roff St","New York","NY","628000","6/24/2025","3","2","1248","https://www.redfin.com/NY/Staten-Island/67-Roff-St-10304/home/56111085"
"125 Milton Ave","New York","NY","565000","6/25/2025","2","1.5","1716","https://www.redfin.com/NY/Staten-Island/125-Milton-Ave-10306/home/56064571"
"174 Pine Pl","New York","NY","550000","6/30/2025","3","1","1000","https://www.redfin.com/NY/Staten-Island/174-Pine-Pl-10304/home/56108383"
"35 Langere Pl Unit C","New York","NY","425000","6/30/2025","1","1","1218","https://www.redfin.com/NY/Staten-Island/35-Langere-Pl-10305/unit-C/home/196022950"
"35 Langere Pl Unit G","New York","NY","425000","6/30/2025","1","1","1218","https://www.redfin.com/NY/Staten-Island/35-Langere-Pl-10305/unit-G/home/56041097"
"35 Langere Pl Unit A","New York","NY","425000","6/30/2025","1","1","1218","https://www.redfin.com/NY/Staten-Island/35-Langere-Pl-10305/unit-A/home/56041349"
"35 Langere Pl Unit E","New York","NY","425000","6/30/2025","1","1","1218","https://www.redfin.com/NY/Staten-Island/35-Langere-Pl-10305/unit-E/home/56041099"
