"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"36923 N 31st Ave","Phoenix","AZ","1150000","6/30/2025","4","3","3952","https://www.redfin.com/AZ/Phoenix/36923-N-31st-Ave-85086/home/27440080"
"36430 N 34th Ave","Phoenix","AZ","958000","6/27/2025","4","3.5","3971","https://www.redfin.com/AZ/Phoenix/36430-N-34th-Ave-85086/home/27710088"
"4311 E Roma Ave","Phoenix","AZ","885000","7/1/2025","4","2","1622","https://www.redfin.com/AZ/Phoenix/4311-E-Roma-Ave-85018/home/28403256"
"4515 N 35th St","Phoenix","AZ","850000","6/24/2025","4","2","2360","https://www.redfin.com/AZ/Phoenix/4515-N-35th-St-85018/home/196048629"
"21 W Cochise Dr","Phoenix","AZ","825000","6/26/2025","3","2","1630","https://www.redfin.com/AZ/Phoenix/21-W-Cochise-Dr-85021/home/27468990"
"2409 W Red Range Way","Phoenix","AZ","600000","7/2/2025","3","2","2376","https://www.redfin.com/AZ/Phoenix/2409-W-Red-Range-Way-85085/home/26923058"
"3377 W Grandview Rd","Phoenix","AZ","560000","6/26/2025","4","3","2053","https://www.redfin.com/AZ/Phoenix/3377-W-Grandview-Rd-85053/home/27621851"
"2925 W Highland Ave","Phoenix","AZ","360000","6/25/2025","4","3","1684","https://www.redfin.com/AZ/Phoenix/2925-W-Highland-Ave-85017/home/28266684"
"1066 E Pueblo Rd #2066","Phoenix","AZ","359000","6/23/2025","","2","1330","https://www.redfin.com/AZ/Phoenix/1066-E-Pueblo-Rd-85020/unit-2066/home/27792435"
"2009 W Willow Ave","Phoenix","AZ","278000","6/26/2025","","3","1369","https://www.redfin.com/AZ/Phoenix/2009-W-Willow-Ave-85029/home/28005351"
"4441 N 101st Ave","Phoenix","AZ","272500","6/25/2025","","2","1288","https://www.redfin.com/AZ/Phoenix/4441-N-101st-Ave-85037/home/27485391"
"4503 E Riverside St","Phoenix","AZ","215000","6/23/2025","","1","924","https://www.redfin.com/AZ/Phoenix/4503-E-Riverside-St-85040/home/28387453"
"4240 N Longview Ave Unit A17","Phoenix","AZ","134500","6/23/2025","","1","636","https://www.redfin.com/AZ/Phoenix/4240-N-Longview-Ave-85014/unit-A17/home/27839773"
