"Address","City","State","Price","Date","Beds","Baths","Sqft","URL"
"168 25th Ave","San Francisco","CA","4300000","6/27/2025","3","3.5","3795","https://www.redfin.com/CA/San-Francisco/168-25th-Ave-94121/home/1367593"
"930 Clayton St","San Francisco","CA","3950000","6/29/2025","3","2.5","2642","https://www.redfin.com/CA/San-Francisco/930-Clayton-St-94117/home/2033374"
"549 Duncan St","San Francisco","CA","2450000","6/23/2025","2","1.5","2028","https://www.redfin.com/CA/San-Francisco/549-Duncan-St-94131/home/1520244"
"1152-1154 Green St","San Francisco","CA","2375000","6/30/2025","2","1","3500","https://www.redfin.com/CA/San-Francisco/1152-1154-Green-St-94109/home/194805965"
"2030 Filbert St","San Francisco","CA","2100000","7/2/2025","3","3","1900","https://www.redfin.com/CA/San-Francisco/2030-Filbert-St-94123/home/1770811"
"2642 17th Ave","San Francisco","CA","2050000","6/26/2025","3","1.5","1848","https://www.redfin.com/CA/San-Francisco/2642-17th-Ave-94116/home/1072777"
"704 Castro St","San Francisco","CA","1800000","7/1/2025","","","2024","https://www.redfin.com/CA/San-Francisco/704-Castro-St-94114/home/1239004"
"3671 19th St","San Francisco","CA","1585000","6/27/2025","3","1","1379","https://www.redfin.com/CA/San-Francisco/3671-19th-St-94110/home/1868147"
"220 Anza St","San Francisco","CA","1465000","6/30/2025","2","2","","https://www.redfin.com/CA/San-Francisco/220-Anza-St-94118/home/173332104"
"1566 23rd Ave","San Francisco","CA","1450000","6/26/2025","3","1.5","1525","https://www.redfin.com/CA/San-Francisco/1566-23rd-Ave-94122/home/1531489"
"1165 Holloway Ave","San Francisco","CA","1180000","7/2/2025","2","1","1110","https://www.redfin.com/CA/San-Francisco/1165-Holloway-Ave-94132/home/820693"
"537 Russia Ave","San Francisco","CA","900000","7/3/2025","2","1","1137","https://www.redfin.com/CA/San-Francisco/537-Russia-Ave-94112/home/1735798"
"301 Mission St Unit 14E","San Francisco","CA","825000","7/3/2025","2","2","1136","https://www.redfin.com/CA/San-Francisco/301-Mission-St-94105/unit-14E/home/40142413"
"200 Dolores St #6","San Francisco","CA","804375","6/30/2025","1","1","651","https://www.redfin.com/CA/San-Francisco/200-Dolores-St-94103/unit-6/home/49738140"
"857 Church St #3","San Francisco","CA","740000","6/26/2025","1","1","740","https://www.redfin.com/CA/San-Francisco/857-Church-St-94114/unit-3/home/713307"
