address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"Cromwell Ave",65000,0,0,0,"2025-05-30T07:00:00Z","NO (outlier)","https://www.redfin.com/NY/Staten-Island/Cromwell-Ave-10305/home/56108941"
"122 Kingsley Ave",90000,0,0,1728,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/122-Kingsley-Ave-10314/home/56133703"
"293 Raritan Ave",100000,0,0,1640,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/293-Raritan-Ave-10305/home/56114340"
"35-49 83rd St Unit 2E",195000,0,1,0,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/NY/Jackson-Heights/3549-83rd-St-11372/unit-2E/home/20658080"
"2055 E 1st St",200000,0,0,1248,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/2055-E-1st-St-11223/home/40854176"
"81 Metropolitan Oval Unit 9D",219000,0,0,524,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/81-Metropolitan-Oval-10462/unit-9D/home/44599979"
"559 W 185th St",237000,0,0,2440,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/NY/New-York/559-W-185th-St-10033/home/45310723"
"65-74 Saunders St Unit 2B",290000,1,1,801,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/NY/Rego-Park/6574-Saunders-St-11374/unit-2B/home/20655048"
"1583 Washington Ave",325000,0,0,1944,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/1583-Washington-Ave-10457/home/44714549"
"69-10 Yellowstone Blvd #427",330000,1,1,1,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/NY/Forest-Hills/6910-Yellowstone-Blvd-11375/unit-427/home/20630059"
"160 Devon Loop",330000,1,1,618,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/160-Devon-Loop-10314/home/56082477"
"155 Wellbrook Ave",350000,0,0,1376,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/155-Wellbrook-Ave-10314/home/56131664"
"650 Ave Of The Americas Unit 6G",387500,0,0,1089,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/NY/New-York/650-Ave-Of-The-Americas-10011/unit-6G/home/45222269"
"1717 Putnam Ave",390000,0,0,5600,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/NY/Ridgewood/1717-Putnam-Ave-11385/home/20887415"
"13220 Sanford Ave Unit 4F",400000,0,0,624,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/NY/Flushing/13220-Sanford-Ave-11355/unit-4F/home/45109709"
"56 Pine St Unit 6E",400000,0,0,430,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/NY/New-York/56-Pine-St-10005/unit-6E/home/45136385"
"8371 116th St Unit 6C",430000,0,0,577,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/NY/Richmond-Hill/8371-116th-St-11418/unit-6C/home/20663365"
"22 Celebration Ln",445000,3,1.5,910,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/22-Celebration-Ln-10304/home/56088984"
"16 E 132nd St Unit 2A",450000,0,0,0,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/NY/New-York/16-E-132nd-St-10037/unit-2A/home/63689234"
"3390 Wayne Unit G62",450000,3,2,1750,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/3390-Wayne-Ave-10467/unit-G62/home/194936102"
"3866 Laconia Ave",475000,0,0,644,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/3866-Laconia-Ave-10469/home/44737035"
"189 Legion St",485000,6,4,2240,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/189-Legion-St-11212/home/40753103"
"113 Brighton Ave",490000,0,0,1400,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/113-Brighton-Ave-10301/home/56130457"
"764 Saint Johns Pl Unit 4C",515000,1,1,467,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/764-Saint-Johns-Pl-11216/unit-4C/home/181246068"
"869 57th St #502",519307,0,0,827,"2025-06-05T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/869-57th-St-11220/unit-502/home/170449654"
"216 Gordon St",520000,0,0,1500,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/216-Gordon-St-10304/home/56137355"
"329 Van Name Ave",520900,0,0,1260,"2025-05-08T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/329-Van-Name-Ave-10303/home/56108646"
"93 Cranford Ct",550000,2,1.5,780,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/93-Cranford-Ct-10306/home/56101304"
"26 Pleasant Valley Ave",550000,0,0,1356,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/26-Pleasant-Valley-Ave-10304/home/56130877"
"63 Gibson Ave",575000,2,1,2128,"2025-06-13T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/63-Gibson-Ave-10308/home/56018607"
"74 Kell Ave",575000,3,2.25,1911,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/74-Kell-Ave-10314/home/56076612"
"3720 Prince St Unit 6C",580000,2,1,791,"2025-05-20T07:00:00Z","YES","https://www.redfin.com/NY/Flushing/3720-Prince-St-11354/unit-6C/home/50217054"
"350 W 50th St Unit 21A",593400,0,0,417,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/NY/New-York/350-W-50th-St-10019/unit-21A/home/45262064"
"29 Frederick St",595000,0,0,1600,"2025-04-01T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/29-Frederick-St-10314/home/56081540"
"11533 145th St",595000,2,1,1180,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/NY/Jamaica/11533-145th-St-11436/home/20715806"
"4146 Hampton St",600000,0,0,2088,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/NY/Elmhurst/4146-Hampton-St-11373/home/20928053"
"2221 Boller Ave",600000,0,0,1800,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/2221-Boller-Ave-10475/home/44765903"
"11146 205th St",610000,3,2,1,"2025-04-16T07:00:00Z","YES","https://www.redfin.com/NY/Saint-Albans/11146-205th-St-11412/home/20741990"
"3360 Shore Pkwy",610000,1,1.75,940,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/3360-Shore-Pkwy-11235/home/40679118"
"1523 Royce St Unit 1I",610000,0,0,1018,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/1523-Royce-St-11234/unit-1I/home/40657040"
"912 Cranford Ave",625000,0,0,1280,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/912-Cranford-Ave-10466/home/44605866"
"30 E 37th St Unit 7G",640000,0,0,481,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/NY/New-York/30-E-37th-St-10016/unit-7G/home/45190288"
"18 Calcagno Ct",650000,3,1.5,1935,"2025-04-23T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/18-Calcagno-Ct-10314/home/56112038"
"42 W 120th St Unit 3A",675000,0,0,857,"2025-06-12T07:00:00Z","YES","https://www.redfin.com/NY/New-York/42-W-120th-St-10027/unit-3A/home/105844666"
"540 W 149th St #2",675000,0,0,632,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/NY/New-York/540-W-149th-St-10031/unit-2/home/105886573"
"3207 Hering Ave",680000,0,0,2750,"2025-04-09T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/3207-Hering-Ave-10469/home/44605194"
"54 Irving Pl",680000,0,0,1848,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/54-Irving-Pl-10304/home/56109597"
"196 S 1st St Unit 6B",685000,0,0,400,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/196-S-1st-St-11211/unit-6B/home/114699364"
"569 E 31st St",698000,0,0,1260,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/569-E-31st-St-11210/home/40783285"
"232 E 47th St Unit 11A",710000,0,0,512,"2025-04-25T07:00:00Z","YES","https://www.redfin.com/NY/New-York/232-E-47th-St-10017/unit-11A/home/45279499"
"2427 Lorillard Pl",711000,0,0,2154,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/2427-Lorillard-Pl-10458/home/44755215"
